,Buy and Hold,RSPGPE,RSNPGPE
Total Return,0.078050644345,0.105977826141,0.245354135565
Daily Sharpe,0.268506508038,0.337676830867,0.736556312315
Monthly Sharpe,0.185226080664,0.244886148215,0.498900944196
Yearly Sharpe,0.233200716217,0.253078208471,0.359801480304
Max Drawdown,-0.223541484233,-0.187976384655,-0.134045889525
Avg Drawdown,-0.0175170842881,-0.0195847533003,-0.0171869937212
Avg Up Month,0.0286682239501,0.0287878560592,0.0254137402292
Avg Down Month,-0.0258271450996,-0.0198277175943,-0.0142606110423
Win Year %,0.4,0.44,0.64
Win 12m %,0.563636363636,0.598181818182,0.756363636364
Reallocation Freq,0.0,0.133483483483,0.258158158158
Short Freq,0.0,0.1859,0.3478
