,Buy and Hold,ARAC,NPGPE,PGPE
Total Return,0.078050644345,-0.771654411912,0.131786556841,0.112226363389
Daily Sharpe,0.268506508038,-4.74991933655,0.406919328103,0.35604361022
Monthly Sharpe,0.185226080664,-5.68470769568,0.292722216954,0.270406413764
Yearly Sharpe,0.233200716217,-3.96745315373,0.288026071384,0.229600161926
Max Drawdown,-0.223541484233,-0.773374899815,-0.19775010208,-0.17966030507
Avg Drawdown,-0.0175170842881,-0.592325560302,-0.0186211585206,-0.0205136991589
Avg Up Month,0.0286682239501,0.0067355830565,0.0278672796516,0.0255144235079
Avg Down Month,-0.0258271450996,-0.0237571890355,-0.0179932359168,-0.0186428311183
Win Year %,0.4,0.0,0.46,0.42
Win 12m %,0.563636363636,0.0,0.629090909091,0.630909090909
Reallocation Freq,0.0,0.5,0.16961961962,0.168618618619
Short Freq,0.0,0.4981,0.2683,0.3092
