,Buy and Hold,RSPGPE,RSNPGPE
Total Return,0.078050644345,-0.107877348366,0.0776374386082
Daily Sharpe,0.268506508038,-0.572821416493,0.267247500184
Monthly Sharpe,0.185226080664,-0.319899099441,0.178725781992
Yearly Sharpe,0.233200716217,-0.125289497967,0.232215676455
Max Drawdown,-0.223541484233,-0.363925248007,-0.223541484233
Avg Drawdown,-0.0175170842881,-0.181045134622,-0.0175170842881
Avg Up Month,0.0286682239501,0.0325988690886,0.0308501382817
Avg Down Month,-0.0258271450996,-0.0306514513755,-0.0246815066841
Win Year %,0.4,0.44,0.6
Win 12m %,0.563636363636,0.430909090909,0.563636363636
Reallocation Freq,0.0,0.0333833833834,0.0
Short Freq,0.0,0.09205,0.0
