,Buy and Hold,ARAC,NPGPE,PGPE
Total Return,0.078050644345,-0.622477286936,0.248328345352,0.145687503362
Daily Sharpe,0.268506508038,-3.14158612528,0.746936554919,0.437755726427
Monthly Sharpe,0.185226080664,-3.73608204826,0.468395859272,0.298667775519
Yearly Sharpe,0.233200716217,-3.6407072699,0.377016385618,0.264162336579
Max Drawdown,-0.223541484233,-0.626067231438,-0.16115185565,-0.207273930353
Avg Drawdown,-0.0175170842881,-0.41709757899,-0.0168129642469,-0.0172174522897
Avg Up Month,0.0286682239501,0.0072954933275,0.0286141894698,0.0272743303953
Avg Down Month,-0.0258271450996,-0.0181350566724,-0.0162212851705,-0.0201034947348
Win Year %,0.4,0.0,0.6,0.52
Win 12m %,0.563636363636,0.0,0.705454545455,0.636363636364
Reallocation Freq,0.0,0.5,0.203103103103,0.138088088088
Short Freq,0.0,0.4981,0.24155,0.24145
