,Buy and Hold,ARAC,NPGPE,PGPE
Total Return,0.0328536742666,0.0768212374718,0.0410739890011,-0.117171468808
Daily Sharpe,0.478067307382,0.786919735694,0.548893538572,-1.37352214544
Monthly Sharpe,-0.247373180033,-0.482635515245,-0.330818439962,-2.38283607112
Yearly Sharpe,,,,
Max Drawdown,-0.146788214546,-0.123283450708,-0.123643845335,-0.204620358105
Avg Drawdown,-0.06902505389,-0.0714991628428,-0.0511703290805,-0.0960916290421
Avg Up Month,0.044265037094,0.0827329827661,0.036579256958,0.0302275295832
Avg Down Month,-0.0265311419898,-0.0248603480152,-0.0400042591283,-0.0598349426631
Win Year %,,,,
Win 12m %,,,,
Reallocation Freq,0.0,0.502040816327,0.19387755102,0.234693877551
Short Freq,0.0,0.498,0.198,0.384
