,Buy and Hold,ARAC,NPGPE,PGPE
Total Return,0.078050644345,-0.39950871941,0.937454896317,1.39104232136
Daily Sharpe,0.268506508038,-1.67699568251,2.2626389188,2.98607658652
Monthly Sharpe,0.185226080664,-1.94034935821,1.46483228246,1.87025130766
Yearly Sharpe,0.233200716217,-2.55530390573,0.844276310089,0.990604224185
Max Drawdown,-0.223541484233,-0.409732895938,-0.071663359279,-0.0721377761374
Avg Drawdown,-0.0175170842881,-0.156737940273,-0.00796885059498,-0.00715237686771
Avg Up Month,0.0286682239501,0.00805165123167,0.0232911063764,0.0254869532648
Avg Down Month,-0.0258271450996,-0.0149588791249,-0.0106069228376,-0.00959948719921
Win Year %,0.4,0.0,0.8,0.82
Win 12m %,0.563636363636,0.0309090909091,0.965454545455,0.98
Reallocation Freq,0.0,0.50005005005,0.215265265265,0.153253253253
Short Freq,0.0,0.5013,0.345,0.29725
