,Buy and Hold,RSPGPE,RSNPGPE
Total Return,0.078050644345,0.375513810643,1.01177054209
Daily Sharpe,0.268506508038,1.05124688296,2.35191615282
Monthly Sharpe,0.185226080664,0.640952319327,1.60334541896
Yearly Sharpe,0.233200716217,0.454211417268,1.01006841909
Max Drawdown,-0.223541484233,-0.146853350824,-0.0609677757074
Avg Drawdown,-0.0175170842881,-0.0144463678908,-0.00826180612058
Avg Up Month,0.0286682239501,0.0277197407293,0.0234999114299
Avg Down Month,-0.0258271450996,-0.0168932768347,-0.0102863785362
Win Year %,0.4,0.64,0.86
Win 12m %,0.563636363636,0.758181818182,0.954545454545
Reallocation Freq,0.0,0.142292292292,0.283083083083
Short Freq,0.0,0.2033,0.42355
