,Buy and Hold,ARAC,NPGPE,PGPE
Total Return,0.078050644345,-0.949187624326,-0.108294279416,-0.321556782743
Daily Sharpe,0.268506508038,-8.90374199895,-0.355688980278,-1.32157051069
Monthly Sharpe,0.185226080664,-10.7885467777,-0.102918545899,-0.618549026624
Yearly Sharpe,0.233200716217,-4.37329723102,0.10519653877,-0.370103857943
Max Drawdown,-0.223541484233,-0.949461782731,-0.29369750055,-0.407615597183
Avg Drawdown,-0.0175170842881,-0.736011507355,-0.0257514583118,-0.173670345507
Avg Up Month,0.0286682239501,0.00170240920266,0.0315540785872,0.0308409751777
Avg Down Month,-0.0258271450996,-0.0442463005344,-0.0245083922092,-0.0260392135069
Win Year %,0.4,0.0,0.32,0.26
Win 12m %,0.563636363636,0.0,0.441818181818,0.325454545455
Reallocation Freq,0.0,0.5,0.058958958959,0.127877877878
