,Buy and Hold,ARAC,NPGPE,PGPE
Total Return,0.078050644345,-0.188474818615,2.07540200881,2.71975674473
Daily Sharpe,0.268506508038,-0.688857920496,3.85312659977,4.520737511
Monthly Sharpe,0.185226080664,-0.815888376129,2.69671845132,2.91815612745
Yearly Sharpe,0.233200716217,-1.34288275048,1.48156561307,1.75226110513
Max Drawdown,-0.223541484233,-0.229360565537,-0.0435279285777,-0.0449058952006
Avg Drawdown,-0.0175170842881,-0.0489504745434,-0.00530820493912,-0.00500963303646
Avg Up Month,0.0286682239501,0.0104267334629,0.0239802541376,0.027624673
Avg Down Month,-0.0258271450996,-0.0124015856303,-0.00782566848474,-0.00960642187901
Win Year %,0.4,0.18,0.98,0.98
Win 12m %,0.563636363636,0.189090909091,1.0,0.998181818182
Reallocation Freq,0.0,0.50005005005,0.188438438438,0.120870870871
Short Freq,0.0,0.5013,0.4183,0.43805
