r_1,a_0,a_1,logReturn
1.64966733223000e-03,0.00000000000000e+00,1.00000000000000e+00,1.44867673199876e-03
2.81426934012000e-03,2.00000000000000e+00,-1.00000000000000e+00,-3.01884142516578e-03
3.87889101209000e-03,0.00000000000000e+00,1.00000000000000e+00,3.67155796850861e-03
2.69108218467000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.89528947807045e-03
5.51669069782000e-03,2.00000000000000e+00,-1.00000000000000e+00,-5.53252677601003e-03
2.23497782785000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.23859111989080e-03
-2.05783005392000e-03,2.00000000000000e+00,-1.00000000000000e+00,2.05526843352942e-03
-3.64799694923000e-03,2.00000000000000e+00,-1.00000000000000e+00,3.64094996291865e-03
-6.66866421041000e-04,0.00000000000000e+00,1.00000000000000e+00,-8.66514829735995e-04
-6.16045945534000e-04,2.00000000000000e+00,-1.00000000000000e+00,4.15939486127189e-04
-4.56347412540000e-03,2.00000000000000e+00,-1.00000000000000e+00,4.55299035225904e-03
-3.69010230559000e-03,2.00000000000000e+00,-1.00000000000000e+00,3.68240538240887e-03
1.58721385827000e-04,0.00000000000000e+00,1.00000000000000e+00,-4.05442188303407e-05
-2.75938638667000e-03,2.00000000000000e+00,-1.00000000000000e+00,2.55609685859651e-03
-4.43184072566000e-05,0.00000000000000e+00,1.00000000000000e+00,-2.43817610858774e-04
-1.80475949743000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.80641002585528e-03
-1.64842502358000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.44737706586106e-03
1.40502249509000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.40632013695949e-03
-1.76444291858000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.76260718253797e-03
3.69068659376000e-04,2.00000000000000e+00,-1.00000000000000e+00,-3.69489151120005e-04
-2.38523708008000e-04,2.00000000000000e+00,-1.00000000000000e+00,2.38421407118034e-04
1.99893562830000e-04,2.00000000000000e+00,-1.00000000000000e+00,-1.99961239729490e-04
