,Buy and Hold,ARAC,NPGPE,PGPE
Total Return,0.078050644345,-0.982071564723,-0.00363536886669,0.360127156269
Daily Sharpe,0.268506508038,-10.292249632,0.0060197872241,0.931441239429
Monthly Sharpe,0.185226080664,-11.8764116623,0.0665936304803,0.611094633536
Yearly Sharpe,0.233200716217,-4.60501206031,0.17584027767,0.806434215813
Max Drawdown,-0.223541484233,-0.982144467828,-0.258218176668,-0.147947336801
Avg Drawdown,-0.0175170842881,-0.754443178664,-0.0199761570464,-0.0161383516039
Avg Up Month,0.0286682239501,,0.0313622233367,0.0284755729758
Avg Down Month,-0.0258271450996,-0.0592450259881,-0.0246615889954,-0.0190941288563
Win Year %,0.4,0.0,0.4,0.72
Win 12m %,0.563636363636,0.0,0.525454545455,0.767272727273
Reallocation Freq,0.0,0.50005005005,0.0206706706707,0.0650650650651
Short Freq,0.0,0.5013,0.03575,0.38395
