,Buy and Hold,RSPGPE,RSNPGPE
Total Return,0.078050644345,-0.605638225854,0.0776374386082
Daily Sharpe,0.268506508038,-3.31947397849,0.267247500184
Monthly Sharpe,0.185226080664,-1.38190815145,0.178725781992
Yearly Sharpe,0.233200716217,-0.984136308439,0.232215676455
Max Drawdown,-0.223541484233,-0.648547332631,-0.223541484233
Avg Drawdown,-0.0175170842881,-0.543997517878,-0.0175170842881
Avg Up Month,0.0286682239501,0.0362895046257,0.0308501382817
Avg Down Month,-0.0258271450996,-0.040920550528,-0.0246815066841
Win Year %,0.4,0.2,0.6
Win 12m %,0.563636363636,0.229090909091,0.563636363636
Reallocation Freq,0.0,0.122122122122,0.0
Short Freq,0.0,0.1716,0.0
