r_1,a_0,a_1,logReturn
1.64966733223000e-03,0.00000000000000e+00,1.00000000000000e+00,-2.36401692523804e-03
2.81426934012000e-03,0.00000000000000e+00,1.00000000000000e+00,2.80229846112545e-03
3.87889101209000e-03,0.00000000000000e+00,1.00000000000000e+00,3.87137153702108e-03
2.69108218467000e-03,2.00000000000000e+00,-1.00000000000000e+00,-8.72906993474228e-03
5.51669069782000e-03,2.00000000000000e+00,-1.00000000000000e+00,-7.56822148382343e-03
2.23497782785000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.79293959513800e-03
-2.05783005392000e-03,2.00000000000000e+00,-1.00000000000000e+00,-3.95805981334021e-03
-3.64799694923000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.64284691280820e-03
-6.66866421041000e-04,2.00000000000000e+00,-1.00000000000000e+00,-1.34460416800912e-03
-6.16045945534000e-04,0.00000000000000e+00,1.00000000000000e+00,-4.62809456226064e-03
-4.56347412540000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.44561009967991e-03
-3.69010230559000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.68243936961505e-03
1.58721385827000e-04,0.00000000000000e+00,1.00000000000000e+00,-3.83790410740752e-03
-2.75938638667000e-03,2.00000000000000e+00,-1.00000000000000e+00,-3.25391106458356e-03
-4.43184072566000e-05,0.00000000000000e+00,1.00000000000000e+00,-4.05350442906431e-03
-1.80475949743000e-03,2.00000000000000e+00,-1.00000000000000e+00,-4.21213356005758e-03
-1.64842502358000e-03,0.00000000000000e+00,1.00000000000000e+00,-5.66928235791473e-03
1.40502249509000e-03,0.00000000000000e+00,1.00000000000000e+00,1.39599247162423e-03
-1.76444291858000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.76601749777585e-03
3.69068659376000e-04,0.00000000000000e+00,1.00000000000000e+00,3.69000538070107e-04
-2.38523708008000e-04,0.00000000000000e+00,1.00000000000000e+00,-2.38552159376378e-04
1.99893562830000e-04,2.00000000000000e+00,-1.00000000000000e+00,-6.21919271272529e-03
1.60303190879000e-04,2.00000000000000e+00,-1.00000000000000e+00,-2.17554740423683e-03
-2.59692204234000e-03,0.00000000000000e+00,1.00000000000000e+00,-6.62348611310651e-03
-1.12791660019000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.13662489379133e-03
-1.48051370882000e-03,2.00000000000000e+00,-1.00000000000000e+00,-4.52974626212881e-03
