,Buy and Hold,RSPGPE,RSNPGPE
Total Return,0.078050644345,0.253415700644,0.92983005111
Daily Sharpe,0.268506508038,0.694266016355,2.1435930035
Monthly Sharpe,0.185226080664,0.465907850078,1.37279858843
Yearly Sharpe,0.233200716217,0.36874406511,0.859226857085
Max Drawdown,-0.223541484233,-0.181839477087,-0.0874430887688
Avg Drawdown,-0.0175170842881,-0.0162636533111,-0.00936295282498
Avg Up Month,0.0286682239501,0.0278523559062,0.0250828731837
Avg Down Month,-0.0258271450996,-0.0180699708467,-0.0129657925339
Win Year %,0.4,0.6,0.82
Win 12m %,0.563636363636,0.687272727273,0.941818181818
Reallocation Freq,0.0,0.17012012012,0.203703703704
Short Freq,0.0,0.2066,0.37565
