,Buy and Hold,RSPGPE,RSNPGPE
Total Return,0.0840835768951,0.0128105771707,-0.177398707197
Daily Sharpe,0.519585975009,0.0933854004942,-0.953953543259
Monthly Sharpe,-0.0362356956133,-0.376915285733,-1.63282760107
Yearly Sharpe,,,
Max Drawdown,-0.155108411045,-0.190475716795,-0.25160959845
Avg Drawdown,-0.0563441682269,-0.0836287062164,-0.134341675054
Avg Up Month,0.0523603259922,0.0502910427009,0.0382667530165
Avg Down Month,-0.0538299218351,-0.0446759656123,-0.0522763444536
Win Year %,,,
Win 12m %,,,
Reallocation Freq,0.0,0.256451612903,0.4375
Short Freq,0.0,0.2356,0.3604
