,Buy and Hold,RSPGPE,RSNPGPE
Total Return,0.078050644345,0.60933649018,1.42970036072
Daily Sharpe,0.268506508038,1.53028367712,2.98831763085
Monthly Sharpe,0.185226080664,0.92803047011,2.12430907113
Yearly Sharpe,0.233200716217,0.595742866727,1.48981453412
Max Drawdown,-0.223541484233,-0.128549514115,-0.0432341859256
Avg Drawdown,-0.0175170842881,-0.0118745792175,-0.00584512305148
Avg Up Month,0.0286682239501,0.0271171206782,0.022712231166
Avg Down Month,-0.0258271450996,-0.0157046627914,-0.00814425043127
Win Year %,0.4,0.7,0.94
Win 12m %,0.563636363636,0.84,0.998181818182
Reallocation Freq,0.0,0.142192192192,0.35045045045
Short Freq,0.0,0.2019,0.4354
