,Buy and Hold,ARAC,NPGPE,PGPE
Total Return,0.0822860486952,-0.000170030493173,2.07101548001,2.86016997135
Daily Sharpe,0.281153586269,0.00168217659462,3.78679693182,4.66671116
Monthly Sharpe,0.223939918433,0.0222861237033,2.74829198577,3.32884705403
Yearly Sharpe,0.253628861758,0.101190461958,1.46162419378,1.6494343635
Max Drawdown,-0.223541484233,-0.12017954243,-0.0462495279907,-0.0379664192603
Avg Drawdown,-0.0175170842881,-0.0377080012934,-0.00534088839812,-0.00451929346431
Avg Up Month,0.0303705971642,0.0104200782829,0.0245364345245,0.0268188787558
Avg Down Month,-0.0252109953881,-0.010429043673,-0.00777948978397,-0.00713415126387
Win Year %,0.4,0.52,1.0,1.0
Win 12m %,0.6,0.545454545455,0.996363636364,1.0
Reallocation Freq,0.0,0.502502502503,0.223023023023,0.146046046046
Short Freq,0.0,0.4955,0.39565,0.4316
