,Buy and Hold,RSPGPE,RSNPGPE
Total Return,0.078050644345,0.211453468099,0.0859521240497
Daily Sharpe,0.268506508038,0.454670565676,0.250498096122
Monthly Sharpe,0.185226080664,0.364291422343,0.191328110235
Yearly Sharpe,0.233200716217,0.367468718117,0.208270684366
Max Drawdown,-0.223541484233,-0.215155174584,-0.220294670081
Avg Drawdown,-0.0175170842881,-0.0225241629986,-0.0200746868298
Avg Up Month,0.0286682239501,0.0277540721415,0.0285459138006
Avg Down Month,-0.0258271450996,-0.0178870666011,-0.0205505920951
Win Year %,0.4,0.56,0.46
Win 12m %,0.563636363636,0.623636363636,0.58
Reallocation Freq,0.0,0.157557557558,0.0919419419419
Short Freq,0.0,0.30175,0.14205
