,Buy and Hold,ARAC,NPGPE,PGPE
Total Return,0.078050644345,-0.999999722611,0.0225622792301,-0.872178842727
Daily Sharpe,0.268506508038,-19.5269051316,0.0916333222068,-7.35085399004
Monthly Sharpe,0.185226080664,-25.2875564551,0.0990792534809,-3.57527212686
Yearly Sharpe,0.233200716217,-9.57870500418,0.192569120891,-3.9256084829
Max Drawdown,-0.223541484233,-0.99999972329,-0.254814117658,-0.902628826946
Avg Drawdown,-0.0175170842881,-0.99999972329,-0.018743215965,-0.785177300147
Avg Up Month,0.0286682239501,,0.0308339185962,0.0418074061534
Avg Down Month,-0.0258271450996,-0.204458589447,-0.0258437269921,-0.0898441085703
Win Year %,0.4,0.0,0.46,0.06
Win 12m %,0.563636363636,0.0,0.505454545455,0.0636363636364
Reallocation Freq,0.0,0.5,0.0021021021021,0.146346346346
Short Freq,0.0,0.4981,0.00215,0.2645
