r_1,a_0,a_1,logReturn
1.64966733223000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.50805704891621e-04
2.81426934012000e-03,2.00000000000000e+00,-1.00000000000000e+00,-5.83325082815135e-03
3.87889101209000e-03,0.00000000000000e+00,1.00000000000000e+00,1.86846331580029e-03
2.69108218467000e-03,0.00000000000000e+00,1.00000000000000e+00,2.68546815369525e-03
5.51669069782000e-03,0.00000000000000e+00,1.00000000000000e+00,5.50152750533103e-03
2.23497782785000e-03,0.00000000000000e+00,1.00000000000000e+00,2.23248397802559e-03
-2.05783005392000e-03,2.00000000000000e+00,-1.00000000000000e+00,-9.42614067165905e-04
-3.64799694923000e-03,2.00000000000000e+00,-1.00000000000000e+00,2.64338341857555e-03
-6.66866421041000e-04,2.00000000000000e+00,-1.00000000000000e+00,-3.39469451579299e-04
-6.16045945534000e-04,0.00000000000000e+00,1.00000000000000e+00,-2.61914534838704e-03
-4.56347412540000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.56025138318998e-03
-3.69010230559000e-03,2.00000000000000e+00,-1.00000000000000e+00,2.68039145039563e-03
1.58721385827000e-04,0.00000000000000e+00,1.00000000000000e+00,-1.83660711794246e-03
-2.75938638667000e-03,0.00000000000000e+00,1.00000000000000e+00,-2.76520334780649e-03
-4.43184072566000e-05,2.00000000000000e+00,-1.00000000000000e+00,-2.96006025448056e-03
-1.80475949743000e-03,2.00000000000000e+00,-1.00000000000000e+00,8.01518200108188e-04
-1.64842502358000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.65248271430955e-03
1.40502249509000e-03,0.00000000000000e+00,1.00000000000000e+00,1.40203448097466e-03
-1.76444291858000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.76600338690284e-03
3.69068659376000e-04,0.00000000000000e+00,1.00000000000000e+00,3.69000568286109e-04
-2.38523708008000e-04,0.00000000000000e+00,1.00000000000000e+00,-2.38552159313968e-04
1.99893562830000e-04,0.00000000000000e+00,1.00000000000000e+00,1.99873586773793e-04
1.60303190879000e-04,0.00000000000000e+00,1.00000000000000e+00,1.60290343695449e-04
-2.59692204234000e-03,2.00000000000000e+00,-1.00000000000000e+00,-4.03159215416219e-04
-1.12791660019000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.25713969126382e-04
-1.48051370882000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.48532692964869e-03
8.32607679355000e-05,0.00000000000000e+00,1.00000000000000e+00,8.12517419652118e-05
-3.13583239829000e-04,2.00000000000000e+00,-1.00000000000000e+00,-2.69003366416413e-03
1.97780636921000e-03,0.00000000000000e+00,1.00000000000000e+00,-2.45731598339686e-05
2.23143841485000e-03,0.00000000000000e+00,1.00000000000000e+00,2.22695448156176e-03
-1.51298182660000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.51412954037962e-03
3.74187220793000e-04,2.00000000000000e+00,-1.00000000000000e+00,-3.37989263019165e-03
-3.44584618722000e-03,0.00000000000000e+00,1.00000000000000e+00,-5.46451053114128e-03
-7.56224058167000e-04,0.00000000000000e+00,1.00000000000000e+00,-7.58526407208101e-04
4.98808361579000e-04,2.00000000000000e+00,-1.00000000000000e+00,-3.50494552954702e-03
1.65632046767000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.47751645683915e-04
3.85202466886000e-03,0.00000000000000e+00,1.00000000000000e+00,3.84262760108379e-03
1.92431841073000e-03,2.00000000000000e+00,-1.00000000000000e+00,-4.93648482424279e-03
3.19071003312000e-04,2.00000000000000e+00,-1.00000000000000e+00,-1.32683338815335e-03
1.18340228110000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.18744019356803e-03
2.99681613930000e-04,0.00000000000000e+00,1.00000000000000e+00,-1.70514715165537e-03
1.47292872102000e-03,0.00000000000000e+00,1.00000000000000e+00,1.46984118023620e-03
1.52834135953000e-03,2.00000000000000e+00,-1.00000000000000e+00,-4.53862736826653e-03
2.40023976182000e-03,0.00000000000000e+00,1.00000000000000e+00,3.94077866703022e-04
3.57869142077000e-04,2.00000000000000e+00,-1.00000000000000e+00,-3.36553148890749e-03
6.82717835755000e-04,0.00000000000000e+00,1.00000000000000e+00,-1.32188574720304e-03
1.53280220346000e-03,2.00000000000000e+00,-1.00000000000000e+00,-4.54512202008819e-03
-5.17237716502000e-04,0.00000000000000e+00,1.00000000000000e+00,-2.52652193840827e-03
-1.10284078395000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.90097609682824e-03
-4.83876475787000e-03,0.00000000000000e+00,1.00000000000000e+00,-6.86305961181284e-03
-1.05904077874000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.06161867315120e-03
-3.18099835238000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.80979957802805e-04
-9.25976062111000e-04,2.00000000000000e+00,-1.00000000000000e+00,-7.73883185771290e-05
-1.20012926694000e-04,0.00000000000000e+00,1.00000000000000e+00,-2.12141287622325e-03
-1.57424084780000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.42878277322641e-03
-4.29101563353000e-03,2.00000000000000e+00,-1.00000000000000e+00,3.28546588718025e-03
-2.30536392953000e-03,0.00000000000000e+00,1.00000000000000e+00,-4.30706903362749e-03
9.70898165109000e-04,2.00000000000000e+00,-1.00000000000000e+00,-3.98081213738310e-03
1.22350348388000e-03,0.00000000000000e+00,1.00000000000000e+00,-7.81765532104663e-04
-1.48223356800000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.48534267500391e-03
-3.04890337104000e-03,2.00000000000000e+00,-1.00000000000000e+00,4.89001658933094e-05
4.10205886202000e-03,0.00000000000000e+00,1.00000000000000e+00,2.10294377819073e-03
1.16873488377000e-03,2.00000000000000e+00,-1.00000000000000e+00,-4.17944933460032e-03
2.32460519890000e-03,0.00000000000000e+00,1.00000000000000e+00,3.19192426389864e-04
3.39735926660000e-03,0.00000000000000e+00,1.00000000000000e+00,3.38960334309559e-03
6.44561441484000e-04,2.00000000000000e+00,-1.00000000000000e+00,-3.65122104171247e-03
-1.52879102367000e-04,0.00000000000000e+00,1.00000000000000e+00,-2.15951398917385e-03
6.98572176883000e-05,0.00000000000000e+00,1.00000000000000e+00,6.78462782622868e-05
2.47923609367000e-03,2.00000000000000e+00,-1.00000000000000e+00,-5.49430418623856e-03
1.71518435122000e-03,0.00000000000000e+00,1.00000000000000e+00,-2.92860849149481e-04
3.91466059809000e-03,0.00000000000000e+00,1.00000000000000e+00,3.90501749240606e-03
7.83333898422000e-04,2.00000000000000e+00,-1.00000000000000e+00,-3.79051081691351e-03
1.02415470009000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.03079939065258e-03
2.66100895109000e-03,0.00000000000000e+00,1.00000000000000e+00,6.57733497454848e-04
4.91618794783000e-03,0.00000000000000e+00,1.00000000000000e+00,4.90215100544968e-03
7.06529056358000e-05,2.00000000000000e+00,-1.00000000000000e+00,-3.07537903160798e-03
-1.94630558202000e-03,2.00000000000000e+00,-1.00000000000000e+00,9.42710107796223e-04
-2.94160862702000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.93684499365786e-03
3.66681641957000e-03,0.00000000000000e+00,1.00000000000000e+00,1.67029159281335e-03
-2.84654727794000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.55456604258735e-04
-4.68380479193000e-03,0.00000000000000e+00,1.00000000000000e+00,-6.70353181775457e-03
-3.86653981465000e-03,2.00000000000000e+00,-1.00000000000000e+00,8.64155582161102e-04
-2.08290136058000e-03,0.00000000000000e+00,1.00000000000000e+00,-4.08651280954246e-03
-3.24469441656000e-03,2.00000000000000e+00,-1.00000000000000e+00,2.42661528460425e-04
-4.39353795443000e-03,2.00000000000000e+00,-1.00000000000000e+00,3.38431814462714e-03
-1.50160010537000e-04,2.00000000000000e+00,-1.00000000000000e+00,-8.57965228144978e-04
-8.64533470351000e-04,0.00000000000000e+00,1.00000000000000e+00,-2.86935417703345e-03
1.23666321891000e-03,2.00000000000000e+00,-1.00000000000000e+00,-4.24767830165389e-03
-2.10836498682000e-03,0.00000000000000e+00,1.00000000000000e+00,-4.12234884294593e-03
-3.14704720793000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.45022908530800e-04
-1.58215492051000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.58528276939605e-03
-2.37366488524000e-03,2.00000000000000e+00,-1.00000000000000e+00,-6.28536482446085e-04
-2.26673734950000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.26419149934939e-03
-1.00583853874000e-03,2.00000000000000e+00,-1.00000000000000e+00,2.31126975312989e-06
-1.04856760504000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.05221272335700e-03
-1.73072350771000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.27209035877553e-03
2.85444993829000e-03,2.00000000000000e+00,-1.00000000000000e+00,-3.86235928090300e-03
-2.14645330830000e-03,0.00000000000000e+00,1.00000000000000e+00,-4.16183707422492e-03
5.40408070888000e-04,0.00000000000000e+00,1.00000000000000e+00,5.38248084961925e-04
-2.74456584626000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.55468797134637e-04
-1.28972230066000e-03,2.00000000000000e+00,-1.00000000000000e+00,2.87191291638252e-04
-1.97114936975000e-03,2.00000000000000e+00,-1.00000000000000e+00,9.69103135565956e-04
1.85767154433000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.39400297685176e-04
8.80772045041000e-04,0.00000000000000e+00,1.00000000000000e+00,8.78388808074420e-04
-3.39861102893000e-04,0.00000000000000e+00,1.00000000000000e+00,-3.39920865031591e-04
-3.77098309917000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.77811118350230e-03
-2.02113957340000e-03,2.00000000000000e+00,-1.00000000000000e+00,-9.79339823336579e-04
-2.02939285453000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.02782116494975e-03
-6.51691462746000e-05,0.00000000000000e+00,1.00000000000000e+00,-2.06424363071144e-03
-1.21067052115000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.21340747416595e-03
-2.05314150558000e-03,2.00000000000000e+00,-1.00000000000000e+00,-9.47309053491458e-04
-2.17722427582000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.17542586260053e-03
1.48690182340000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.49335705819055e-03
-8.43950948023000e-04,2.00000000000000e+00,-1.00000000000000e+00,-1.60048941009779e-04
-1.40265589496000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.40777173470044e-03
