,Buy and Hold,RSPGPE,RSNPGPE
Total Return,0.078050644345,0.645249918466,1.98903535197
Daily Sharpe,0.268506508038,1.61282526684,3.73909421509
Monthly Sharpe,0.185226080664,0.979492319828,2.56831119699
Yearly Sharpe,0.233200716217,0.615147940928,1.5359562232
Max Drawdown,-0.223541484233,-0.12398284969,-0.0390151129
Avg Drawdown,-0.0175170842881,-0.011349528721,-0.00506809103789
Avg Up Month,0.0286682239501,0.026920434595,0.0243200739543
Avg Down Month,-0.0258271450996,-0.015241388283,-0.00752424442722
Win Year %,0.4,0.7,1.0
Win 12m %,0.563636363636,0.854545454545,0.998181818182
Reallocation Freq,0.0,0.142992992993,0.297397397397
Short Freq,0.0,0.2058,0.4685
