,Buy and Hold,ARAC,NPGPE,PGPE
Total Return,0.078050644345,-0.103196589213,1.95235116778,2.50579435633
Daily Sharpe,0.268506508038,-0.357192160442,3.72174387378,4.32385352207
Monthly Sharpe,0.185226080664,-0.441858097722,2.58215060716,2.80664237973
Yearly Sharpe,0.233200716217,-0.741465294716,1.41509034556,1.51282240246
Max Drawdown,-0.223541484233,-0.172157780145,-0.0434549441855,-0.0375612207067
Avg Drawdown,-0.0175170842881,-0.0295102517847,-0.00527991682243,-0.00506140939827
Avg Up Month,0.0286682239501,0.0108894032362,0.0236346629172,0.0266666261606
Avg Down Month,-0.0258271450996,-0.0116505005658,-0.00822062263687,-0.00751588367533
Win Year %,0.4,0.32,0.96,1.0
Win 12m %,0.563636363636,0.314545454545,1.0,0.998181818182
Reallocation Freq,0.0,0.50005005005,0.205005005005,0.175275275275
Short Freq,0.0,0.5013,0.40135,0.39865
