,Buy and Hold,ARAC,NPGPE,PGPE
Total Return,0.078050644345,-0.86664763081,-0.0191800002745,0.0774592486784
Daily Sharpe,0.268506508038,-6.1289531263,-0.0464141392489,0.266694490309
Monthly Sharpe,0.185226080664,-7.16055589632,0.0396681266274,0.178427098541
Yearly Sharpe,0.233200716217,-4.05281631008,0.164114607935,0.232094605287
Max Drawdown,-0.223541484233,-0.867503644455,-0.248481189216,-0.223541484233
Avg Drawdown,-0.0175170842881,-0.722871684645,-0.0222007246081,-0.01752233839
Avg Up Month,0.0286682239501,0.00761463369688,0.0305807637817,0.0308501382817
Avg Down Month,-0.0258271450996,-0.031012971666,-0.0233057463409,-0.0246868113354
Win Year %,0.4,0.0,0.38,0.6
Win 12m %,0.563636363636,0.0,0.512727272727,0.563636363636
Reallocation Freq,0.0,0.50005005005,0.0898398398398,0.0002002002002
Short Freq,0.0,0.5013,0.08085,0.0001
