,Buy and Hold,ARAC,NPGPE,PGPE
Total Return,0.078050644345,-0.99344503645,0.0199610960809,0.0776374386082
Daily Sharpe,0.268506508038,-11.4280239651,0.0834195251868,0.267247500184
Monthly Sharpe,0.185226080664,-14.0055368323,0.0969656242268,0.178725781992
Yearly Sharpe,0.233200716217,-4.9252570805,0.188514443286,0.232215676455
Max Drawdown,-0.223541484233,-0.993478514319,-0.251623645742,-0.223541484233
Avg Drawdown,-0.0175170842881,-0.944080813827,-0.020367354062,-0.0175170842881
Avg Up Month,0.0286682239501,,0.0313995989119,0.0308501382817
Avg Down Month,-0.0258271450996,-0.073375438628,-0.0249124533658,-0.0246815066841
Win Year %,0.4,0.0,0.44,0.6
Win 12m %,0.563636363636,0.0,0.527272727273,0.563636363636
Reallocation Freq,0.0,0.50005005005,0.00860860860861,0.0
Short Freq,0.0,0.5013,0.0074,0.0
