Date,Open,High,Low,Close,Volume,Adj Close
2016-05-16,155.339996,156.899994,154.600006,155.380005,3169800,155.380005
2016-05-13,157.880005,159.720001,155.259995,155.339996,2533500,155.339996
2016-05-12,160.320007,161.470001,157.309998,158.070007,2446100,158.070007
2016-05-11,161.360001,162.529999,159.279999,159.419998,2075400,159.419998
2016-05-10,158.669998,161.50,158.389999,161.419998,2375900,161.419998
2016-05-09,158.199997,159.850006,156.789993,157.509995,2084800,157.509995
2016-05-06,158.190002,160.169998,157.009995,158.850006,2301600,158.850006
2016-05-05,160.779999,160.820007,158.50,159.529999,2366200,159.529999
2016-05-04,161.199997,162.600006,159.089996,160.070007,3197800,160.070007
2016-05-03,163.660004,164.110001,161.369995,163.139999,2767900,163.139999
2016-05-02,165.080002,167.190002,163.990005,166.179993,1996900,166.179993
2016-04-29,163.800003,164.679993,162.559998,164.110001,2879800,164.110001
2016-04-28,165.350006,167.320007,164.009995,164.289993,2508300,164.289993
2016-04-27,165.830002,168.660004,164.929993,166.919998,3318700,166.919998
2016-04-26,165.380005,166.00,164.220001,165.839996,2246700,165.839996
2016-04-25,166.00,167.389999,164.059998,165.089996,2465700,165.089996
2016-04-22,165.789993,167.490005,165.660004,166.75,2673000,166.75
2016-04-21,166.550003,168.899994,165.009995,165.320007,4154600,165.320007
2016-04-20,162.00,167.449997,161.940002,166.979996,4797900,166.979996
2016-04-19,157.75,163.699997,157.00,162.649994,5821500,162.649994
2016-04-18,157.610001,160.00,157.149994,159.020004,3026900,159.020004
2016-04-15,161.229996,161.779999,158.199997,158.520004,3463400,158.520004
2016-04-14,159.529999,162.270004,159.149994,160.910004,3054000,160.910004
2016-04-13,156.529999,159.990005,156.380005,159.850006,5143300,159.850006
2016-04-12,152.669998,155.089996,151.300003,154.309998,2725600,154.309998
2016-04-11,151.179993,153.899994,150.410004,152.199997,3451100,152.199997
2016-04-08,152.070007,152.869995,150.009995,150.279999,3119400,150.279999
2016-04-07,153.649994,154.029999,149.369995,150.410004,4779400,150.410004
2016-04-06,155.259995,156.270004,153.919998,155.190002,2921900,155.190002
2016-04-05,156.440002,156.529999,154.550003,155.350006,2812000,155.350006
2016-04-04,159.970001,160.00,157.389999,157.770004,2478100,157.770004
2016-04-01,156.460007,160.009995,155.089996,159.820007,3369200,159.820007
2016-03-31,156.179993,157.479996,156.059998,156.979996,2922500,156.979996
2016-03-30,156.130005,158.020004,154.889999,156.50,3117700,156.50
2016-03-29,152.869995,155.350006,151.50,155.029999,2909600,155.029999
2016-03-28,153.139999,154.639999,152.380005,153.839996,2289500,153.839996
2016-03-24,152.399994,153.039993,150.130005,153.00,3691600,153.00
2016-03-23,154.25,155.550003,153.589996,154.080002,3625300,154.080002
2016-03-22,155.50,155.589996,153.360001,154.199997,3512500,154.199997
2016-03-21,157.240005,158.899994,155.75,156.289993,4406400,156.289993
2016-03-18,153.910004,158.179993,153.869995,157.600006,7362400,157.600006
2016-03-17,150.389999,153.979996,148.75,152.910004,4420700,152.910004
2016-03-16,150.919998,152.850006,149.710007,150.539993,4288100,150.539993
2016-03-15,152.649994,152.740005,150.899994,152.029999,3726800,152.029999
2016-03-14,153.660004,154.449997,152.130005,153.490005,3312200,153.490005
2016-03-11,153.279999,154.160004,152.369995,153.940002,4050600,153.940002
2016-03-10,150.410004,153.600006,148.839996,151.020004,4112200,151.020004
2016-03-09,152.110001,152.50,149.179993,149.910004,3247700,149.910004
2016-03-08,154.00,154.229996,151.50,151.600006,3818800,151.600006
2016-03-07,156.00,156.369995,154.410004,155.350006,2764600,155.350006
2016-03-04,156.369995,158.850006,155.289993,156.839996,4981900,156.839996
2016-03-03,154.00,155.660004,153.360001,155.330002,3615800,155.330002
2016-03-02,154.75,155.410004,153.449997,154.199997,5047500,154.199997
2016-03-01,150.949997,154.770004,150.679993,154.649994,6490400,154.649994
2016-02-29,149.75,150.289993,148.320007,149.529999,5506400,149.529999
2016-02-26,149.720001,151.970001,149.009995,150.25,5924500,149.600003
2016-02-25,146.00,149.070007,145.229996,148.25,4299600,147.608655
2016-02-24,143.080002,145.639999,140.259995,145.559998,5714700,144.93029
2016-02-23,148.00,148.050003,144.050003,144.910004,4249600,144.283108
2016-02-22,149.199997,149.990005,148.229996,148.789993,4287900,148.146312
2016-02-19,147.00,147.729996,145.429993,146.910004,5257300,146.274456
2016-02-18,151.25,152.00,147.369995,147.729996,5895500,147.0909
2016-02-17,150.800003,151.869995,150.309998,150.940002,5578800,150.28702
2016-02-16,149.600006,150.479996,147.449997,149.020004,10198000,148.375328
2016-02-12,143.75,146.509995,143.699997,146.130005,9009300,145.497831
2016-02-11,143.410004,144.410004,139.050003,140.690002,10252200,140.081363
2016-02-10,150.00,153.380005,147.210007,147.229996,7609600,146.593063
2016-02-09,145.520004,149.949997,145.100006,148.25,6919400,147.608655
2016-02-08,153.830002,153.830002,145.25,149.25,8680000,148.604329
2016-02-05,157.570007,159.699997,155.690002,156.470001,4596100,155.793096
2016-02-04,152.300003,157.949997,152.009995,156.490005,4573100,155.813013
2016-02-03,152.50,153.839996,147.009995,152.679993,5893200,152.019483
2016-02-02,157.00,157.00,150.160004,151.699997,6316200,151.043727
2016-02-01,160.410004,161.00,158.449997,159.649994,2963500,158.959331
2016-01-29,158.639999,161.589996,157.779999,161.559998,4887900,160.861072
