r_1,a_0,a_1,logReturn
1.64966733223000e-03,0.00000000000000e+00,1.00000000000000e+00,1.59774982426607e-03
2.81426934012000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.28973363707545e-02
3.87889101209000e-03,0.00000000000000e+00,1.00000000000000e+00,-6.21956880320552e-03
2.69108218467000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.28236652446555e-02
5.51669069782000e-03,0.00000000000000e+00,1.00000000000000e+00,-4.57190482488549e-03
2.23497782785000e-03,0.00000000000000e+00,1.00000000000000e+00,2.18197387973130e-03
-2.05783005392000e-03,0.00000000000000e+00,1.00000000000000e+00,-2.06020337311839e-03
-3.64799694923000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.65466838689773e-03
-6.66866421041000e-04,2.00000000000000e+00,-1.00000000000000e+00,-9.37696018271393e-03
-6.16045945534000e-04,2.00000000000000e+00,-1.00000000000000e+00,5.72142677687085e-04
-4.56347412540000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.46645363994315e-02
-3.69010230559000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.74782513562063e-03
1.58721385827000e-04,0.00000000000000e+00,1.00000000000000e+00,1.58454336764859e-04
-2.75938638667000e-03,0.00000000000000e+00,1.00000000000000e+00,-2.76320178712168e-03
-4.43184072566000e-05,2.00000000000000e+00,-1.00000000000000e+00,-1.00055707939790e-02
-1.80475949743000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.19256432918334e-02
-1.64842502358000e-03,2.00000000000000e+00,-1.00000000000000e+00,-8.43792749957145e-03
1.40502249509000e-03,0.00000000000000e+00,1.00000000000000e+00,-8.66647935489912e-03
-1.76444291858000e-03,2.00000000000000e+00,-1.00000000000000e+00,-8.32068513939290e-03
3.69068659376000e-04,2.00000000000000e+00,-1.00000000000000e+00,-4.02030526370729e-04
-2.38523708008000e-04,0.00000000000000e+00,1.00000000000000e+00,-1.02951944653850e-02
1.99893562830000e-04,0.00000000000000e+00,1.00000000000000e+00,1.49345508858183e-04
1.60303190879000e-04,0.00000000000000e+00,1.00000000000000e+00,1.60037737384745e-04
-2.59692204234000e-03,0.00000000000000e+00,1.00000000000000e+00,-2.60030115998565e-03
-1.12791660019000e-03,2.00000000000000e+00,-1.00000000000000e+00,-8.91167468349059e-03
-1.48051370882000e-03,2.00000000000000e+00,-1.00000000000000e+00,1.44040837875599e-03
8.32607679355000e-05,0.00000000000000e+00,1.00000000000000e+00,-9.95150281959005e-03
-3.13583239829000e-04,0.00000000000000e+00,1.00000000000000e+00,-3.64075893219390e-04
1.97780636921000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.20503735789894e-02
2.23143841485000e-03,0.00000000000000e+00,1.00000000000000e+00,-7.87007481922674e-03
-1.51298182660000e-03,2.00000000000000e+00,-1.00000000000000e+00,-8.57442468394919e-03
3.74187220793000e-04,2.00000000000000e+00,-1.00000000000000e+00,-4.09697534381764e-04
-3.44584618722000e-03,2.00000000000000e+00,-1.00000000000000e+00,3.43601570824588e-03
-7.56224058167000e-04,0.00000000000000e+00,1.00000000000000e+00,-1.07797971272529e-02
4.98808361579000e-04,2.00000000000000e+00,-1.00000000000000e+00,-1.06052138137436e-02
1.65632046767000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.71361674502916e-03
3.85202466886000e-03,0.00000000000000e+00,1.00000000000000e+00,-6.18392769476342e-03
1.92431841073000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.20469878821836e-02
3.19071003312000e-04,0.00000000000000e+00,1.00000000000000e+00,-9.79912137669376e-03
1.18340228110000e-03,0.00000000000000e+00,1.00000000000000e+00,1.13191390996178e-03
2.99681613930000e-04,0.00000000000000e+00,1.00000000000000e+00,2.99382844451670e-04
1.47292872102000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.15392518100474e-02
1.52834135953000e-03,0.00000000000000e+00,1.00000000000000e+00,-8.57378930100676e-03
2.40023976182000e-03,0.00000000000000e+00,1.00000000000000e+00,2.34672329713339e-03
3.57869142077000e-04,0.00000000000000e+00,1.00000000000000e+00,3.57552003877285e-04
6.82717835755000e-04,2.00000000000000e+00,-1.00000000000000e+00,-1.07401890013628e-02
1.53280220346000e-03,0.00000000000000e+00,1.00000000000000e+00,-8.56118115984313e-03
