r_1,a_0,a_1,logReturn
1.64966733223000e-03,2.00000000000000e+00,-1.00000000000000e+00,-6.74547780426011e-03
2.81426934012000e-03,2.00000000000000e+00,-1.00000000000000e+00,-7.88743912993074e-03
3.87889101209000e-03,0.00000000000000e+00,1.00000000000000e+00,-6.19402834310618e-03
2.69108218467000e-03,0.00000000000000e+00,1.00000000000000e+00,2.63702097388987e-03
5.51669069782000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.07303392845051e-02
2.23497782785000e-03,0.00000000000000e+00,1.00000000000000e+00,-7.92927067581440e-03
-2.05783005392000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.30783882541509e-02
-3.64799694923000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.40839119076319e-03
-6.66866421041000e-04,0.00000000000000e+00,1.00000000000000e+00,-1.07128256012401e-02
-6.16045945534000e-04,2.00000000000000e+00,-1.00000000000000e+00,-1.45396258119511e-02
-4.56347412540000e-03,2.00000000000000e+00,-1.00000000000000e+00,-5.06758114126202e-04
-3.69010230559000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.37640999139458e-02
1.58721385827000e-04,2.00000000000000e+00,-1.00000000000000e+00,-1.53261593455013e-02
-2.75938638667000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.32133272225955e-03
-4.43184072566000e-05,2.00000000000000e+00,-1.00000000000000e+00,-4.97022155689137e-03
-1.80475949743000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.18999744406615e-02
-1.64842502358000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.34929198615402e-02
1.40502249509000e-03,0.00000000000000e+00,1.00000000000000e+00,-8.69221328358159e-03
-1.76444291858000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.33753464940468e-02
3.69068659376000e-04,0.00000000000000e+00,1.00000000000000e+00,-9.73656318237367e-03
-2.38523708008000e-04,2.00000000000000e+00,-1.00000000000000e+00,-1.49230572701331e-02
1.99893562830000e-04,2.00000000000000e+00,-1.00000000000000e+00,-5.28781370090525e-03
1.60303190879000e-04,2.00000000000000e+00,-1.00000000000000e+00,-5.20132049740112e-03
-2.59692204234000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.27041592736651e-02
-1.12791660019000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.17938718250177e-03
-1.48051370882000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.48186530555735e-03
8.32607679355000e-05,0.00000000000000e+00,1.00000000000000e+00,8.32560292889065e-05
-3.13583239829000e-04,2.00000000000000e+00,-1.00000000000000e+00,-1.47953298627428e-02
1.97780636921000e-03,0.00000000000000e+00,1.00000000000000e+00,-8.12807242162155e-03
2.23143841485000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.74332947925221e-02
-1.51298182660000e-03,2.00000000000000e+00,-1.00000000000000e+00,-3.59274848406154e-03
3.74187220793000e-04,0.00000000000000e+00,1.00000000000000e+00,-9.68294546383956e-03
-3.44584618722000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.50251185145303e-03
-7.56224058167000e-04,2.00000000000000e+00,-1.00000000000000e+00,-1.43464494571229e-02
4.98808361579000e-04,2.00000000000000e+00,-1.00000000000000e+00,-5.58277661065432e-03
1.65632046767000e-03,2.00000000000000e+00,-1.00000000000000e+00,-6.70927736887448e-03
3.85202466886000e-03,2.00000000000000e+00,-1.00000000000000e+00,-8.93380909501634e-03
1.92431841073000e-03,2.00000000000000e+00,-1.00000000000000e+00,-7.01315532951281e-03
3.19071003312000e-04,0.00000000000000e+00,1.00000000000000e+00,-9.77341190663944e-03
1.18340228110000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.63673370102589e-02
2.99681613930000e-04,0.00000000000000e+00,1.00000000000000e+00,-9.83706881704930e-03
1.47292872102000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.66619119110819e-02
1.52834135953000e-03,0.00000000000000e+00,1.00000000000000e+00,-8.60002896599926e-03
2.40023976182000e-03,0.00000000000000e+00,1.00000000000000e+00,2.34659107576703e-03
3.57869142077000e-04,0.00000000000000e+00,1.00000000000000e+00,3.57551342973159e-04
6.82717835755000e-04,0.00000000000000e+00,1.00000000000000e+00,6.82483621921027e-04
1.53280220346000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.66709942357183e-02
-5.17237716502000e-04,0.00000000000000e+00,1.00000000000000e+00,-1.06657617736565e-02
-1.10284078395000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.15450727004861e-03
-4.83876475787000e-03,0.00000000000000e+00,1.00000000000000e+00,-4.85076601943877e-03
-1.05904077874000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.40390483870614e-02
-3.18099835238000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.33348335899832e-02
-9.25976062111000e-04,0.00000000000000e+00,1.00000000000000e+00,-9.77455808846842e-04
-1.20012926694000e-04,0.00000000000000e+00,1.00000000000000e+00,-1.20275419838248e-04
-1.57424084780000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.35167008301451e-02
-4.29101563353000e-03,2.00000000000000e+00,-1.00000000000000e+00,-7.69344238685280e-04
-2.30536392953000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.23638590158656e-02
9.70898165109000e-04,0.00000000000000e+00,1.00000000000000e+00,9.19942071416353e-04
