r_1,a_0,a_1,logReturn
1.64966733223000e-03,2.00000000000000e+00,-1.00000000000000e+00,-6.69416837383553e-03
2.81426934012000e-03,0.00000000000000e+00,1.00000000000000e+00,-7.25386328639372e-03
3.87889101209000e-03,0.00000000000000e+00,1.00000000000000e+00,3.82100668845965e-03
2.69108218467000e-03,0.00000000000000e+00,1.00000000000000e+00,2.68721647172744e-03
5.51669069782000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.07300830434019e-02
2.23497782785000e-03,2.00000000000000e+00,-1.00000000000000e+00,-7.39514810261443e-03
-2.05783005392000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.21800775867344e-02
-3.64799694923000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.70571217191981e-03
-6.66866421041000e-04,0.00000000000000e+00,1.00000000000000e+00,-6.67344277497506e-04
-6.16045945534000e-04,0.00000000000000e+00,1.00000000000000e+00,-6.16237057603938e-04
-4.56347412540000e-03,0.00000000000000e+00,1.00000000000000e+00,-4.57391856725213e-03
-3.69010230559000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.69692752882303e-03
1.58721385827000e-04,0.00000000000000e+00,1.00000000000000e+00,1.58708790920276e-04
-2.75938638667000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.23161469398682e-02
-4.43184072566000e-05,2.00000000000000e+00,-1.00000000000000e+00,-5.01623549878805e-03
-1.80475949743000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.19002084196570e-02
-1.64842502358000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.70059487971548e-03
1.40502249509000e-03,0.00000000000000e+00,1.00000000000000e+00,1.40378267597949e-03
-1.76444291858000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.33239289748714e-02
3.69068659376000e-04,2.00000000000000e+00,-1.00000000000000e+00,-5.44197426966562e-03
-2.38523708008000e-04,2.00000000000000e+00,-1.00000000000000e+00,-4.80212752853568e-03
1.99893562830000e-04,0.00000000000000e+00,1.00000000000000e+00,-9.87154018068188e-03
1.60303190879000e-04,2.00000000000000e+00,-1.00000000000000e+00,-1.53277873339708e-02
-2.59692204234000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.27559778951677e-02
-1.12791660019000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.17964922239926e-03
-1.48051370882000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.36119656588215e-02
8.32607679355000e-05,2.00000000000000e+00,-1.00000000000000e+00,-5.15755927093576e-03
-3.13583239829000e-04,0.00000000000000e+00,1.00000000000000e+00,-1.03936837888410e-02
1.97780636921000e-03,0.00000000000000e+00,1.00000000000000e+00,1.92529666446779e-03
2.23143841485000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.73818846866692e-02
-1.51298182660000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.16799496101836e-02
3.74187220793000e-04,0.00000000000000e+00,1.00000000000000e+00,3.23046687683030e-04
-3.44584618722000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.45205303126865e-03
-7.56224058167000e-04,0.00000000000000e+00,1.00000000000000e+00,-7.56511421998027e-04
4.98808361579000e-04,0.00000000000000e+00,1.00000000000000e+00,4.98683991634425e-04
1.65632046767000e-03,0.00000000000000e+00,1.00000000000000e+00,1.65495028166151e-03
3.85202466886000e-03,0.00000000000000e+00,1.00000000000000e+00,3.84462461919665e-03
1.92431841073000e-03,0.00000000000000e+00,1.00000000000000e+00,1.92246928188554e-03
3.19071003312000e-04,0.00000000000000e+00,1.00000000000000e+00,3.19020110984722e-04
1.18340228110000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.63157837336327e-02
2.99681613930000e-04,0.00000000000000e+00,1.00000000000000e+00,-9.83680390049610e-03
1.47292872102000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.66619105505224e-02
1.52834135953000e-03,0.00000000000000e+00,1.00000000000000e+00,-8.60002895901220e-03
2.40023976182000e-03,0.00000000000000e+00,1.00000000000000e+00,2.34659107580226e-03
3.57869142077000e-04,2.00000000000000e+00,-1.00000000000000e+00,-1.54772805820775e-02
6.82717835755000e-04,0.00000000000000e+00,1.00000000000000e+00,-9.44151898740631e-03
1.53280220346000e-03,0.00000000000000e+00,1.00000000000000e+00,1.48082811116967e-03
-5.17237716502000e-04,0.00000000000000e+00,1.00000000000000e+00,-5.17625670759418e-04
-1.10284078395000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.39946301091633e-02
-4.83876475787000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.26133959592888e-04
-1.05904077874000e-03,2.00000000000000e+00,-1.00000000000000e+00,-3.97190530180527e-03
-3.18099835238000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.32834163206175e-02
-9.25976062111000e-04,0.00000000000000e+00,1.00000000000000e+00,-9.77195852845494e-04
-1.20012926694000e-04,2.00000000000000e+00,-1.00000000000000e+00,-1.49920624938302e-02
-1.57424084780000e-03,2.00000000000000e+00,-1.00000000000000e+00,-3.50681676001721e-03
-4.29101563353000e-03,2.00000000000000e+00,-1.00000000000000e+00,-7.18908728048974e-04
-2.30536392953000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.23636046074209e-02
9.70898165109000e-04,0.00000000000000e+00,1.00000000000000e+00,9.19943355132830e-04
1.22350348388000e-03,0.00000000000000e+00,1.00000000000000e+00,1.22250349654150e-03
-1.48223356800000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.36099645205741e-02
-3.04890337104000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.01412590478542e-03
4.10205886202000e-03,0.00000000000000e+00,1.00000000000000e+00,-5.91017740588667e-03
1.16873488377000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.63519729019160e-02
2.32460519890000e-03,0.00000000000000e+00,1.00000000000000e+00,-7.79406174854239e-03
3.39735926660000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.86204860264745e-02
6.44561441484000e-04,0.00000000000000e+00,1.00000000000000e+00,-9.51181347069954e-03
-1.52879102367000e-04,2.00000000000000e+00,-1.00000000000000e+00,-1.50102527773427e-02
6.98572176883000e-05,2.00000000000000e+00,-1.00000000000000e+00,-5.15797815150599e-03
2.47923609367000e-03,2.00000000000000e+00,-1.00000000000000e+00,-7.53375127525905e-03
1.71518435122000e-03,0.00000000000000e+00,1.00000000000000e+00,-8.37004790261478e-03
3.91466059809000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.91474831149249e-02
7.83333898422000e-04,0.00000000000000e+00,1.00000000000000e+00,-9.37710560873752e-03
1.02415470009000e-03,0.00000000000000e+00,1.00000000000000e+00,9.72621938694399e-04
2.66100895109000e-03,0.00000000000000e+00,1.00000000000000e+00,2.65722036209077e-03
4.91618794783000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.01171897698565e-02
7.06529056358000e-05,0.00000000000000e+00,1.00000000000000e+00,-1.01069354976436e-02
-1.94630558202000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.31914682772695e-02
-2.94160862702000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.11716453120843e-03
3.66681641957000e-03,0.00000000000000e+00,1.00000000000000e+00,-6.34915469417715e-03
-2.84654727794000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.22788275490636e-02
-4.68380479193000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.48407499976936e-02
-3.86653981465000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.12474643657399e-02
-2.08290136058000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.21939496970458e-02
-3.24469441656000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.18763518046277e-02
-4.39353795443000e-03,2.00000000000000e+00,-1.00000000000000e+00,-6.49991726452816e-04
-1.50160010537000e-04,2.00000000000000e+00,-1.00000000000000e+00,-4.88046104670374e-03
-8.64533470351000e-04,0.00000000000000e+00,1.00000000000000e+00,-1.09479516674059e-02
1.23666321891000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.64214301268394e-02
-2.10836498682000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.22724349026351e-02
-3.14704720793000e-03,0.00000000000000e+00,1.00000000000000e+00,-3.20324036408703e-03
-1.58215492051000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.35089374418262e-02
-2.37366488524000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.25115940806638e-02
-2.26673734950000e-03,0.00000000000000e+00,1.00000000000000e+00,-2.32036051371992e-03
-1.00583853874000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.00660024847098e-03
-1.04856760504000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.40496696823248e-02
-1.73072350771000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.18662772535942e-02
2.85444993829000e-03,0.00000000000000e+00,1.00000000000000e+00,2.79959951121008e-03
-2.14645330830000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.29371255122572e-02
5.40408070888000e-04,2.00000000000000e+00,-1.00000000000000e+00,-5.61035054442712e-03
-2.74456584626000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.28577210345604e-02
-1.28972230066000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.38566423440492e-02
-1.97114936975000e-03,2.00000000000000e+00,-1.00000000000000e+00,-3.09686784250453e-03
1.85767154433000e-03,0.00000000000000e+00,1.00000000000000e+00,-8.18132644933787e-03
8.80772045041000e-04,2.00000000000000e+00,-1.00000000000000e+00,-1.60594769854172e-02
-3.39861102893000e-04,2.00000000000000e+00,-1.00000000000000e+00,-4.75685558877050e-03
-3.77098309917000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.25193377179685e-03
-2.02113957340000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.99595877916244e-03
-2.02939285453000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.21072570285390e-02
-6.51691462746000e-05,0.00000000000000e+00,1.00000000000000e+00,-1.15809521821672e-04
-1.21067052115000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.38855421537211e-02
-2.05314150558000e-03,2.00000000000000e+00,-1.00000000000000e+00,-3.01517354228952e-03
-2.17722427582000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.83158278514050e-03
1.48690182340000e-03,2.00000000000000e+00,-1.00000000000000e+00,-6.51131549011110e-03
-8.43950948023000e-04,2.00000000000000e+00,-1.00000000000000e+00,-4.20502366107280e-03
-1.40265589496000e-03,2.00000000000000e+00,-1.00000000000000e+00,-3.62072286780389e-03
-2.68601171809000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.32779320086045e-03
-1.17142727240000e-03,2.00000000000000e+00,-1.00000000000000e+00,-3.83773626025872e-03
-3.95427928677000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.05962781184228e-03
-2.03233671969000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.20906434509423e-02
-1.74003808158000e-04,0.00000000000000e+00,1.00000000000000e+00,-2.24563883853353e-04
-2.53855051396000e-03,0.00000000000000e+00,1.00000000000000e+00,-2.54203147102654e-03
-3.93572914040000e-04,0.00000000000000e+00,1.00000000000000e+00,-3.93651651557253e-04
4.51869414715000e-04,0.00000000000000e+00,1.00000000000000e+00,4.51767346141755e-04
-2.21348105274000e-03,0.00000000000000e+00,1.00000000000000e+00,-2.21593442295132e-03
1.47954191615000e-03,0.00000000000000e+00,1.00000000000000e+00,1.47844847240661e-03
2.19275983101000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.73422714829341e-02
1.85425680911000e-03,0.00000000000000e+00,1.00000000000000e+00,-8.27853913420612e-03
-1.99643736926000e-03,0.00000000000000e+00,1.00000000000000e+00,-2.04944891601923e-03
4.76097023213000e-04,2.00000000000000e+00,-1.00000000000000e+00,-1.55973609880507e-02
-3.15983351191000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.92303040541769e-03
-2.13120793796000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.87913798091981e-03
-1.65892044455000e-03,2.00000000000000e+00,-1.00000000000000e+00,-3.35041560411810e-03
-3.98851150542000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.02046672709045e-03
-1.02643111642000e-03,2.00000000000000e+00,-1.00000000000000e+00,-3.99640185089798e-03
3.29394172781000e-04,0.00000000000000e+00,1.00000000000000e+00,-9.73268440199481e-03
-1.25355121263000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.30496639460911e-03
1.99614404339000e-07,0.00000000000000e+00,1.00000000000000e+00,-5.35361526119277e-08
-7.49734705220000e-04,2.00000000000000e+00,-1.00000000000000e+00,-1.43527766383684e-02
-3.52425582734000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.54541620947166e-03
-2.56056478205000e-03,2.00000000000000e+00,-1.00000000000000e+00,-2.45235526202357e-03
3.52184866665000e-04,0.00000000000000e+00,1.00000000000000e+00,-9.69409395916688e-03
-4.49451899128000e-03,0.00000000000000e+00,1.00000000000000e+00,-4.55536316839230e-03
-3.64436131186000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.14208627398714e-02
-5.04247615223000e-03,0.00000000000000e+00,1.00000000000000e+00,-1.51963586860648e-02
-3.09948599739000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.20234707112609e-02
6.07405896002000e-04,0.00000000000000e+00,1.00000000000000e+00,-9.48220376851092e-03
-2.35732786455000e-03,0.00000000000000e+00,1.00000000000000e+00,-2.41093430809165e-03
-3.42656541231000e-03,2.00000000000000e+00,-1.00000000000000e+00,-1.16411851410587e-02
-9.13720862173000e-04,2.00000000000000e+00,-1.00000000000000e+00,-4.13603334183165e-03
-1.40281754034000e-03,2.00000000000000e+00,-1.00000000000000e+00,-3.61986171412828e-03
