epoch,average,stdev,sharpe,
49,0.000275928,0.00545225,0.0506082,
99,0.000396166,0.00552636,0.0716867,
149,-4.64549e-05,0.00531143,-0.00874622,
199,-0.000203182,0.00554554,-0.0366389,
249,0.000185091,0.00545223,0.0339477,
299,-2.57925e-05,0.00536096,-0.00481117,
349,0.000189603,0.00542272,0.0349645,
399,0.000419712,0.00532843,0.0787683,
449,6.92618e-06,0.00573417,0.00120788,
499,-0.000224599,0.00543035,-0.0413599,
549,3.00576e-05,0.00541106,0.00555486,
599,0.000129267,0.00551313,0.0234472,
649,0.000198738,0.00566015,0.0351117,
699,-5.44104e-05,0.00556146,-0.00978347,
749,0.00013679,0.00516461,0.026486,
799,-2.59892e-05,0.00560764,-0.0046346,
849,-1.69336e-05,0.00553481,-0.00305947,
899,0.000127652,0.00580988,0.0219715,
949,-0.000326326,0.00552457,-0.0590682,
999,0.000220056,0.00563548,0.0390484,
