epoch,average,stdev,sharpe,
49,0.000270577,0.00540449,0.0500653,
99,0.000141071,0.00536215,0.0263087,
149,-0.000194945,0.00541205,-0.0360206,
199,-0.00017331,0.00531567,-0.0326035,
249,0.000240748,0.00546797,0.0440288,
299,2.01288e-05,0.00563313,0.00357329,
349,-9.36038e-05,0.00541758,-0.0172778,
399,-3.41626e-05,0.00524799,-0.00650964,
449,-4.24029e-05,0.00556356,-0.00762154,
499,-0.000109083,0.00551185,-0.0197906,
549,-0.000129216,0.00570803,-0.0226376,
599,3.76289e-05,0.00533765,0.0070497,
649,0.000179521,0.00541934,0.0331259,
699,0.000355194,0.0054803,0.0648128,
749,0.000264712,0.00554009,0.0477811,
799,0.00035446,0.00531411,0.0667016,
849,7.30259e-05,0.00559608,0.0130495,
899,0.000110788,0.00548911,0.0201832,
949,0.000303779,0.00549096,0.0553234,
999,-5.04701e-06,0.00553654,-0.000911582,
