epoch,average,stdev,sharpe,
49,-0.000212424,0.00554861,-0.0382842,
99,1.4955e-05,0.00535842,0.00279093,
149,8.96744e-05,0.0051474,0.0174213,
199,0.000157432,0.00558499,0.0281884,
249,0.000261952,0.00565934,0.0462867,
299,-0.000140768,0.00543209,-0.0259141,
349,-0.000174416,0.00555581,-0.0313935,
399,-3.03694e-05,0.00544329,-0.00557923,
449,5.922e-05,0.0054119,0.0109425,
499,-8.59361e-05,0.00552834,-0.0155446,
549,-6.51195e-05,0.00518823,-0.0125514,
599,-0.000151558,0.00533363,-0.0284155,
649,-0.000169001,0.00559698,-0.0301951,
699,-0.000306265,0.00548573,-0.0558293,
749,0.000113087,0.00553162,0.0204437,
799,0.000434946,0.00542463,0.0801798,
849,-1.25258e-05,0.00552823,-0.00226578,
899,-0.000124679,0.00517482,-0.0240935,
949,-0.000141088,0.00559225,-0.0252292,
999,0.000131139,0.00552015,0.0237565,
