epoch,average,stdev,sharpe,
49,-0.000135396,0.00544736,-0.0248553,
99,-5.1982e-05,0.00556951,-0.0093333,
149,-0.000265851,0.00543726,-0.0488942,
199,-0.000343105,0.00567304,-0.0604799,
249,0.000186596,0.00553606,0.0337056,
299,0.000235553,0.00533459,0.0441558,
349,0.000210969,0.00524745,0.0402042,
399,7.45543e-05,0.00547936,0.0136064,
449,-4.43139e-05,0.00563854,-0.00785911,
499,8.34952e-05,0.00543867,0.0153521,
549,0.00014071,0.00547815,0.0256856,
599,4.46754e-05,0.00564052,0.00792043,
649,9.61766e-05,0.00537167,0.0179044,
699,0.000115705,0.00565099,0.0204752,
749,-3.67141e-05,0.00556276,-0.00659997,
799,8.02642e-05,0.00545209,0.0147217,
849,0.000250149,0.00542292,0.0461281,
899,-0.000217517,0.00560543,-0.0388047,
949,-0.000147458,0.0052785,-0.0279355,
999,-0.000425291,0.00548675,-0.0775123,
