epoch,average,stdev,sharpe,
49,-0.000159023,0.00543875,-0.0292388,
99,1.53658e-05,0.00561536,0.00273639,
149,0.000327703,0.00549823,0.0596016,
199,0.000194502,0.0053037,0.036673,
249,-0.0001508,0.00555374,-0.0271528,
299,-0.000137853,0.00546975,-0.0252027,
349,0.000239797,0.00526127,0.0455778,
399,0.000154231,0.00541777,0.0284676,
449,6.36544e-05,0.00540789,0.0117707,
499,3.31039e-05,0.00566781,0.00584068,
549,0.000150791,0.00561084,0.0268749,
599,0.000197361,0.00538053,0.0366805,
649,0.000245065,0.00546088,0.0448765,
699,3.05441e-05,0.00538763,0.00566929,
749,-8.35448e-05,0.00565468,-0.0147745,
799,0.000140497,0.00552689,0.0254206,
849,-8.24574e-05,0.00551398,-0.0149543,
899,-1.07044e-05,0.00535769,-0.00199796,
949,-2.90486e-05,0.0053122,-0.00546829,
999,0.000190959,0.00560465,0.0340715,
