epoch,average,stdev,sharpe,
0,3.68706e-05,0.00880708,0.00418647,
1,-7.58545e-05,0.00884481,-0.00857616,
2,-0.000228506,0.00922876,-0.0247601,
3,-4.18765e-07,0.00921063,-4.54654e-05,
4,-8.89429e-05,0.00939931,-0.00946271,
5,-4.96612e-05,0.00913294,-0.00543759,
6,9.92622e-05,0.0091737,0.0108203,
7,-2.39033e-05,0.00946591,-0.00252519,
8,5.34012e-05,0.00921035,0.00579795,
9,0.000377826,0.00908202,0.0416016,
10,-0.000124842,0.00896089,-0.0139319,
11,4.28158e-05,0.00923724,0.00463513,
12,-1.57595e-05,0.00935967,-0.00168376,
13,2.26141e-05,0.00913687,0.00247504,
14,0.000272531,0.00931048,0.0292714,
15,-0.000151758,0.00940121,-0.0161424,
16,0.000130083,0.00899318,0.0144646,
17,6.22286e-06,0.00927474,0.000670947,
18,6.34132e-05,0.00920265,0.00689076,
19,-0.000265243,0.00941135,-0.0281833,
20,-0.000279056,0.00929654,-0.0300172,
21,-5.51716e-05,0.00930442,-0.00592962,
22,1.86983e-05,0.00932511,0.00200516,
23,-0.000151691,0.00911834,-0.0166358,
24,-0.000248035,0.00938947,-0.0264163,
25,-0.000330393,0.00941496,-0.0350924,
26,-0.000470889,0.00925668,-0.0508702,
27,1.41645e-05,0.00921929,0.0015364,
28,-0.000135238,0.00913215,-0.014809,
29,3.80525e-05,0.00924919,0.00411414,
30,0.000188897,0.00908641,0.0207889,
31,3.77742e-05,0.0093077,0.00405838,
32,1.90405e-05,0.00922444,0.00206414,
33,2.9804e-05,0.0091388,0.00326126,
34,-0.000143823,0.00940094,-0.0152988,
35,-0.000106253,0.00914553,-0.011618,
36,-8.08462e-05,0.00914869,-0.00883692,
37,-0.000224051,0.00910445,-0.024609,
38,0.000144529,0.00925994,0.015608,
39,-0.000102887,0.009262,-0.0111086,
40,-0.000338006,0.00925279,-0.0365302,
41,-9.95082e-05,0.00933082,-0.0106645,
42,6.71319e-05,0.00894827,0.00750222,
