epoch,average,stdev,sharpe,
0,-9.84731e-05,0.00890722,-0.0110554,
1,2.91375e-05,0.00919845,0.00316766,
2,-0.000135962,0.00931368,-0.0145981,
3,1.8236e-05,0.00945328,0.00192907,
4,1.01593e-05,0.00903972,0.00112385,
5,1.83052e-05,0.00922235,0.00198487,
6,-9.39717e-05,0.00896929,-0.010477,
7,2.5931e-05,0.00938011,0.00276447,
8,8.12015e-05,0.00916917,0.00885593,
9,-6.2679e-05,0.00940493,-0.00666448,
10,8.14996e-05,0.0092103,0.00884874,
11,1.51797e-05,0.00916501,0.00165627,
12,-6.778e-05,0.0092531,-0.00732511,
13,-0.000182162,0.00930588,-0.0195749,
14,-0.000270113,0.00927932,-0.0291091,
15,-2.56523e-05,0.00899764,-0.002851,
16,8.93343e-05,0.00929576,0.00961022,
17,-0.000101492,0.0090924,-0.0111623,
18,7.72729e-05,0.00917464,0.00842245,
19,-3.90531e-05,0.00939208,-0.00415809,
20,-0.000169871,0.00913637,-0.0185928,
21,-0.000303617,0.00937532,-0.0323847,
22,-0.000204955,0.00913649,-0.0224326,
23,8.78346e-05,0.00906715,0.00968713,
24,0.000294452,0.00910938,0.032324,
25,5.42272e-05,0.00919964,0.00589449,
26,-9.20499e-05,0.00916041,-0.0100487,
27,-0.00015337,0.00929108,-0.0165072,
28,-0.000126775,0.0090699,-0.0139776,
29,0.000376923,0.00914882,0.0411991,
30,7.54882e-05,0.00915049,0.00824963,
31,0.000251031,0.00918427,0.0273327,
32,-0.000240304,0.00934859,-0.0257048,
33,0.000135652,0.00917008,0.0147929,
34,-6.0041e-05,0.00920778,-0.00652069,
35,5.29289e-05,0.00924071,0.0057278,
36,0.000456884,0.00920736,0.0496216,
37,4.74834e-05,0.00929753,0.0051071,
38,-0.000109936,0.00917046,-0.011988,
39,1.6273e-05,0.00946297,0.00171965,
40,-8.48858e-05,0.00925011,-0.00917673,
41,-0.00012555,0.00934183,-0.0134395,
42,0.00025555,0.0090631,0.0281967,
43,-2.72755e-05,0.00928343,-0.00293808,
44,-1.4594e-05,0.00891819,-0.00163643,
