epoch,average,stdev,sharpe,
49,-0.000280285,0.00542525,-0.0516631,
99,-9.44459e-05,0.00529887,-0.0178238,
149,-0.000149815,0.00562027,-0.0266562,
199,-0.000100542,0.00522139,-0.0192559,
249,1.19424e-05,0.00550049,0.00217116,
299,0.000305298,0.00516033,0.0591625,
349,9.86826e-05,0.00559949,0.0176235,
399,7.02279e-06,0.00568389,0.00123556,
449,-4.00388e-05,0.00530162,-0.00755217,
499,0.000323865,0.00537579,0.0602452,
549,0.000321202,0.0054229,0.0592307,
599,-4.19499e-05,0.00546321,-0.00767861,
649,0.00011582,0.00561561,0.0206246,
699,-4.21731e-05,0.00555957,-0.00758568,
749,-0.000137265,0.00552029,-0.0248655,
799,9.04983e-05,0.0054718,0.016539,
849,5.09588e-05,0.00581143,0.00876873,
899,6.72437e-05,0.00546889,0.0122957,
949,8.64624e-06,0.0056039,0.0015429,
999,0.000124518,0.00540167,0.0230518,
